SensorId; TimeStamp (s); FrameNumber; AccX (g); AccY (g); AccZ (g); GyroX (deg/s); GyroY (deg/s); GyroZ (deg/s); MagX (uT); MagY (uT); MagZ (uT); EulerX (deg); EulerY (deg); EulerZ (deg); QuatW; QuatX; QuatY; QuatZ; LinAccX (g); LinAccY (g); LinAccZ (g)
1.0000;0.3200;32.0000;0.0889;-0.3269;-1.0085;9.9595;-12.9783;41.5393;0.0000;0.0000;0.0000;13.6050;5.0124;-95.8099;1.0000;0.0000;0.0000;0.0000;-0.0001;0.0935;0.0402
1.0000;0.3300;33.0000;0.0745;-0.3264;-0.9754;13.2901;-14.9955;43.5222;0.0000;0.0000;0.0000;13.7710;4.7637;-95.4211;1.0000;0.0000;0.0000;0.0000;0.0102;0.0903;0.0073
1.0000;0.3400;34.0000;0.0953;-0.3306;-0.9538;14.9283;-19.5584;49.2580;0.0000;0.0000;0.0000;13.9551;4.4558;-94.9883;1.0000;0.0000;0.0000;0.0000;-0.0155;0.0914;-0.0139
1.0000;0.3500;35.0000;0.1193;-0.3130;-0.9585;14.6978;-23.2544;55.8145;0.0000;0.0000;0.0000;14.1414;4.0974;-94.5035;1.0000;0.0000;0.0000;0.0000;-0.0455;0.0706;-0.0088
1.0000;0.3600;36.0000;0.1131;-0.2989;-0.9718;15.7603;-26.8322;63.0389;0.0000;0.0000;0.0000;14.3361;3.6823;-93.9572;1.0000;0.0000;0.0000;0.0000;-0.0461;0.0531;0.0048
1.0000;0.3700;37.0000;0.0818;-0.2931;-0.9524;15.7122;-28.6998;69.5622;0.0000;0.0000;0.0000;14.5296;3.2310;-93.3540;1.0000;0.0000;0.0000;0.0000;-0.0225;0.0438;-0.0142
1.0000;0.3800;38.0000;0.0757;-0.2776;-0.9360;14.6124;-25.9857;71.4801;0.0000;0.0000;0.0000;14.7086;2.7991;-92.7271;1.0000;0.0000;0.0000;0.0000;-0.0240;0.0251;-0.0302
1.0000;0.3900;39.0000;0.0703;-0.2771;-0.9378;10.5400;-23.1094;73.9437;0.0000;0.0000;0.0000;14.8437;2.3870;-92.0704;1.0000;0.0000;0.0000;0.0000;-0.0260;0.0220;-0.0281
1.0000;0.4000;40.0000;0.0330;-0.2942;-0.9645;-1.1263;-16.4767;74.0772;0.0000;0.0000;0.0000;14.8607;2.0370;-91.3968;1.0000;0.0000;0.0000;0.0000;0.0048;0.0379;-0.0014
1.0000;0.4100;41.0000;0.0161;-0.3240;-1.0036;-4.6588;-9.6165;69.9490;0.0000;0.0000;0.0000;14.8357;1.7648;-90.7450;1.0000;0.0000;0.0000;0.0000;0.0164;0.0679;0.0374
1.0000;0.4200;42.0000;0.0240;-0.3480;-1.0437;-4.2009;-8.0205;68.7548;0.0000;0.0000;0.0000;14.8121;1.5113;-90.1006;1.0000;0.0000;0.0000;0.0000;0.0041;0.0924;0.0774
1.0000;0.4300;43.0000;0.0300;-0.3503;-1.0915;1.6539;-12.9293;75.9574;0.0000;0.0000;0.0000;14.8453;1.1920;-89.3991;1.0000;0.0000;0.0000;0.0000;-0.0069;0.0945;0.1250
1.0000;0.4400;44.0000;0.0156;-0.3404;-1.0949;12.9849;-22.8911;87.6532;0.0000;0.0000;0.0000;14.9885;0.7453;-88.6109;1.0000;0.0000;0.0000;0.0000;0.0005;0.0829;0.1288
1.0000;0.4500;45.0000;-0.0062;-0.3209;-1.0531;22.3754;-31.2164;96.2247;0.0000;0.0000;0.0000;15.2202;0.1930;-87.7635;1.0000;0.0000;0.0000;0.0000;0.0133;0.0599;0.0878
1.0000;0.4600;46.0000;0.0012;-0.3016;-1.0231;24.4558;-36.2995;102.2640;0.0000;0.0000;0.0000;15.4630;-0.4276;-86.8734;1.0000;0.0000;0.0000;0.0000;-0.0045;0.0365;0.0589
1.0000;0.4700;47.0000;-0.0157;-0.2684;-0.9390;24.1300;-37.9493;107.6383;0.0000;0.0000;0.0000;15.6919;-1.0823;-85.9384;1.0000;0.0000;0.0000;0.0000;0.0010;-0.0006;-0.0240
1.0000;0.4800;48.0000;-0.0226;-0.2535;-0.8611;14.5540;-30.2795;103.9786;0.0000;0.0000;0.0000;15.8153;-1.6563;-85.0198;1.0000;0.0000;0.0000;0.0000;-0.0028;-0.0185;-0.1009
1.0000;0.4900;49.0000;-0.0102;-0.2354;-0.8695;-1.9010;-17.7482;97.9055;0.0000;0.0000;0.0000;15.7670;-2.0936;-84.1255;1.0000;0.0000;0.0000;0.0000;-0.0236;-0.0366;-0.0922
1.0000;0.5000;50.0000;-0.0159;-0.2393;-0.8900;-9.9049;-11.6998;96.0274;0.0000;0.0000;0.0000;15.6319;-2.4654;-83.2320;1.0000;0.0000;0.0000;0.0000;-0.0247;-0.0309;-0.0719
1.0000;0.5100;51.0000;-0.0323;-0.2297;-0.9043;-13.9867;-10.4548;97.2645;0.0000;0.0000;0.0000;15.4500;-2.8267;-82.3220;1.0000;0.0000;0.0000;0.0000;-0.0147;-0.0376;-0.0582
1.0000;0.5200;52.0000;-0.0713;-0.2105;-0.8974;-18.6259;-8.9456;96.2541;0.0000;0.0000;0.0000;15.2163;-3.1676;-81.4161;1.0000;0.0000;0.0000;0.0000;0.0182;-0.0531;-0.0658
1.0000;0.5300;53.0000;-0.1049;-0.2113;-0.8943;-24.4809;-2.8265;93.5455;0.0000;0.0000;0.0000;14.9197;-3.4382;-80.5188;1.0000;0.0000;0.0000;0.0000;0.0466;-0.0477;-0.0698
1.0000;0.5400;54.0000;-0.1244;-0.2205;-0.9164;-34.7679;3.5233;89.0916;0.0000;0.0000;0.0000;14.5182;-3.6306;-79.6466;1.0000;0.0000;0.0000;0.0000;0.0622;-0.0324;-0.0491
1.0000;0.5500;55.0000;-0.1426;-0.2467;-0.9709;-44.4447;10.4863;78.1451;0.0000;0.0000;0.0000;14.0235;-3.7247;-78.8616;1.0000;0.0000;0.0000;0.0000;0.0781;0.0017;0.0036
1.0000;0.5600;56.0000;-0.1458;-0.2743;-1.0518;-45.7269;17.3379;66.2897;0.0000;0.0000;0.0000;13.5217;-3.7142;-78.1751;1.0000;0.0000;0.0000;0.0000;0.0809;0.0379;0.0824
1.0000;0.5700;57.0000;-0.1157;-0.2894;-1.0875;-38.8318;17.9534;62.1177;0.0000;0.0000;0.0000;13.0917;-3.6824;-77.5279;1.0000;0.0000;0.0000;0.0000;0.0513;0.0607;0.1161
1.0000;0.5800;58.0000;-0.1198;-0.2728;-1.0890;-34.0076;7.8588;66.9794;0.0000;0.0000;0.0000;12.7081;-3.7553;-76.8560;1.0000;0.0000;0.0000;0.0000;0.0550;0.0509;0.1161
1.0000;0.5900;59.0000;-0.1320;-0.2325;-1.0588;-28.2348;-2.3102;67.3664;0.0000;0.0000;0.0000;12.3821;-3.9241;-76.2020;1.0000;0.0000;0.0000;0.0000;0.0647;0.0166;0.0847
1.0000;0.6000;60.0000;-0.1261;-0.1807;-1.0038;-24.4424;-6.4276;64.3665;0.0000;0.0000;0.0000;12.0919;-4.1259;-75.5836;1.0000;0.0000;0.0000;0.0000;0.0555;-0.0301;0.0289
1.0000;0.6100;61.0000;-0.1005;-0.1584;-0.9577;-24.5788;-2.1913;57.0510;0.0000;0.0000;0.0000;11.8055;-4.2655;-75.0286;1.0000;0.0000;0.0000;0.0000;0.0269;-0.0475;-0.0181
1.0000;0.6200;62.0000;-0.0724;-0.1459;-0.9479;-26.9419;1.8836;51.2483;0.0000;0.0000;0.0000;11.4979;-4.3506;-74.5214;1.0000;0.0000;0.0000;0.0000;-0.0029;-0.0549;-0.0288
1.0000;0.6300;63.0000;-0.0550;-0.1380;-0.9322;-28.2184;2.2360;51.5480;0.0000;0.0000;0.0000;11.1766;-4.4300;-74.0101;1.0000;0.0000;0.0000;0.0000;-0.0217;-0.0573;-0.0455
1.0000;0.6400;64.0000;-0.0201;-0.1297;-0.9349;-28.1415;-1.2881;55.6178;0.0000;0.0000;0.0000;10.8526;-4.5489;-73.4649;1.0000;0.0000;0.0000;0.0000;-0.0584;-0.0601;-0.0438
1.0000;0.6500;65.0000;-0.0026;-0.1222;-0.9253;-27.3160;-7.0780;59.7918;0.0000;0.0000;0.0000;10.5301;-4.7250;-72.8874;1.0000;0.0000;0.0000;0.0000;-0.0786;-0.0620;-0.0542
1.0000;0.6600;66.0000;-0.0053;-0.1137;-0.9222;-24.0050;-9.0585;59.4829;0.0000;0.0000;0.0000;10.2421;-4.9213;-72.3167;1.0000;0.0000;0.0000;0.0000;-0.0792;-0.0653;-0.0580
1.0000;0.6700;67.0000;-0.0265;-0.1049;-0.9043;-18.9952;-8.6854;61.9459;0.0000;0.0000;0.0000;9.9999;-5.1156;-71.7198;1.0000;0.0000;0.0000;0.0000;-0.0614;-0.0695;-0.0765
1.0000;0.6800;68.0000;-0.0686;-0.1059;-0.8703;-15.9833;-6.2356;59.8730;0.0000;0.0000;0.0000;9.7873;-5.2799;-71.1383;1.0000;0.0000;0.0000;0.0000;-0.0225;-0.0648;-0.1108
1.0000;0.6900;69.0000;-0.0977;-0.1067;-0.8508;-16.1630;4.0456;47.6245;0.0000;0.0000;0.0000;9.5814;-5.3202;-70.6601;1.0000;0.0000;0.0000;0.0000;0.0050;-0.0604;-0.1308
1.0000;0.7000;70.0000;-0.0826;-0.1054;-0.8793;-18.4192;19.2916;31.1901;0.0000;0.0000;0.0000;9.3623;-5.1801;-70.3175;1.0000;0.0000;0.0000;0.0000;-0.0089;-0.0580;-0.1030
1.0000;0.7100;71.0000;-0.0468;-0.1021;-0.9234;-13.7121;26.4094;23.1493;0.0000;0.0000;0.0000;9.2012;-4.9567;-70.0454;1.0000;0.0000;0.0000;0.0000;-0.0411;-0.0581;-0.0597
1.0000;0.7200;72.0000;-0.0336;-0.1128;-0.9199;-4.2448;21.3989;25.9317;0.0000;0.0000;0.0000;9.1341;-4.7868;-69.7543;1.0000;0.0000;0.0000;0.0000;-0.0508;-0.0457;-0.0638
1.0000;0.7300;73.0000;-0.0185;-0.1028;-0.9080;0.7874;12.2885;33.4799;0.0000;0.0000;0.0000;9.1129;-4.7185;-69.4030;1.0000;0.0000;0.0000;0.0000;-0.0641;-0.0551;-0.0760
1.0000;0.7400;74.0000;-0.0371;-0.0783;-0.8906;5.1165;4.9485;38.7826;0.0000;0.0000;0.0000;9.1317;-4.7311;-69.0109;1.0000;0.0000;0.0000;0.0000;-0.0452;-0.0797;-0.0934
1.0000;0.7500;75.0000;-0.0601;-0.0625;-0.8603;7.6712;6.7361;36.6900;0.0000;0.0000;0.0000;9.1699;-4.7222;-68.6330;1.0000;0.0000;0.0000;0.0000;-0.0224;-0.0961;-0.1236
1.0000;0.7600;76.0000;-0.0731;-0.0741;-0.8862;3.8889;9.9204;36.7738;0.0000;0.0000;0.0000;9.1776;-4.6829;-68.2529;1.0000;0.0000;0.0000;0.0000;-0.0088;-0.0849;-0.0977
1.0000;0.7700;77.0000;-0.1043;-0.0981;-0.9509;1.5548;7.1357;39.2194;0.0000;0.0000;0.0000;9.1606;-4.6749;-67.8530;1.0000;0.0000;0.0000;0.0000;0.0228;-0.0607;-0.0331
1.0000;0.7800;78.0000;-0.1420;-0.1071;-0.9914;4.9366;3.2412;38.6597;0.0000;0.0000;0.0000;9.1782;-4.7045;-67.4649;1.0000;0.0000;0.0000;0.0000;0.0602;-0.0517;0.0074
1.0000;0.7900;79.0000;-0.1323;-0.1047;-1.0099;9.8931;2.4820;31.5204;0.0000;0.0000;0.0000;9.2512;-4.7305;-67.1487;1.0000;0.0000;0.0000;0.0000;0.0500;-0.0550;0.0262
1.0000;0.8000;80.0000;-0.0903;-0.0978;-1.0220;13.9579;0.0447;25.6847;0.0000;0.0000;0.0000;9.3597;-4.7706;-66.8895;1.0000;0.0000;0.0000;0.0000;0.0074;-0.0636;0.0386
1.0000;0.8100;81.0000;-0.0599;-0.0923;-1.0168;16.3644;-2.8725;21.9635;0.0000;0.0000;0.0000;9.5056;-4.8349;-66.6768;1.0000;0.0000;0.0000;0.0000;-0.0240;-0.0713;0.0338
1.0000;0.8200;82.0000;-0.0356;-0.0782;-0.9910;15.8251;-0.4555;17.9038;0.0000;0.0000;0.0000;9.6489;-4.8692;-66.5004;1.0000;0.0000;0.0000;0.0000;-0.0492;-0.0879;0.0086
1.0000;0.8300;83.0000;0.0146;-0.0856;-0.9893;12.4437;14.0804;11.9394;0.0000;0.0000;0.0000;9.7614;-4.7505;-66.3584;1.0000;0.0000;0.0000;0.0000;-0.0984;-0.0827;0.0071
1.0000;0.8400;84.0000;0.0368;-0.1022;-1.0206;9.9502;20.2058;12.5496;0.0000;0.0000;0.0000;9.8480;-4.5728;-66.1998;1.0000;0.0000;0.0000;0.0000;-0.1177;-0.0677;0.0384
1.0000;0.8500;85.0000;0.0144;-0.1147;-1.0270;9.3286;16.5750;15.9267;0.0000;0.0000;0.0000;9.9190;-4.4262;-66.0097;1.0000;0.0000;0.0000;0.0000;-0.0925;-0.0566;0.0449
1.0000;0.8600;86.0000;-0.0334;-0.1337;-1.0354;5.9430;12.5889;20.1210;0.0000;0.0000;0.0000;9.9616;-4.3370;-65.7891;1.0000;0.0000;0.0000;0.0000;-0.0428;-0.0385;0.0533
1.0000;0.8700;87.0000;-0.0583;-0.1581;-1.0687;4.3260;10.8951;22.1332;0.0000;0.0000;0.0000;9.9871;-4.2680;-65.5516;1.0000;0.0000;0.0000;0.0000;-0.0165;-0.0147;0.0866
1.0000;0.8800;88.0000;-0.0410;-0.1767;-1.1019;4.6118;4.3469;27.6347;0.0000;0.0000;0.0000;10.0123;-4.2732;-65.2711;1.0000;0.0000;0.0000;0.0000;-0.0333;0.0035;0.1198
1.0000;0.8900;89.0000;-0.0741;-0.2028;-1.1212;3.5828;-6.1568;37.3055;0.0000;0.0000;0.0000;10.0212;-4.3987;-64.9134;1.0000;0.0000;0.0000;0.0000;-0.0017;0.0293;0.1392
1.0000;0.9000;90.0000;-0.1235;-0.2134;-1.1167;4.0367;-12.6610;39.4282;0.0000;0.0000;0.0000;10.0338;-4.5949;-64.5468;1.0000;0.0000;0.0000;0.0000;0.0447;0.0399;0.1351
1.0000;0.9100;91.0000;-0.1361;-0.2103;-1.0883;7.1399;-11.5178;29.9716;0.0000;0.0000;0.0000;10.0827;-4.7606;-64.2709;1.0000;0.0000;0.0000;0.0000;0.0541;0.0362;0.1070
